ticker,exchange,fiscal_month
MIG,AT,12
MODA,AT,12
MOH,AT,12
MOTO,AT,12
MTLN,AT,12
NAKAS,AT,6
OLTH,AT,12
OLYMP,AT,12
ONYX,AT,12
OPTIMA,AT,12
ORILINA,AT,12
OTOEL,AT,12
PAP,AT,12
PERF,AT,12
PETRO,AT,12
PLAKR,AT,12
PLAT,AT,12
PPA,AT,12
PPC,AT,12
PREMIA,AT,12
PRODEA,AT,12
PVMEZZ,AT,12
QLCO,AT,12
QUEST,AT,12
REALCONS,AT,12
REVOIL,AT,12
SAR,AT,12
SIDMA,AT,12
SPACE,AT,12
SUNMEZZ,AT,12
TELL,AT,12
TITC,AT,12
TPEIR,AT,12
TRASTOR,AT,12
YKNOT,AT,12
ABI,BR,12
ABO,BR,12
ACCB,BR,12
ACKB,BR,12
AGFB,BR,12
AGS,BR,12
ALEMS,BR,12
ARGX,BR,12
ATEB,BR,12
AZE,BR,12
BANI,BR,12
BANQ,BR,12
BAR,BR,12
BEKB,BR,12
BELYS,BR,12
BNB,BR,12
BPOST,BR,12
BREB,BR,12
BTLS,BR,12
CAMB,BR,12
CAND,BR,12
CENER,BR,12
CFEB,BR,12
CMBT,BR,12
COBH,BR,12
COLR,BR,3
COMB,BR,12
CYAD,BR,12
DECB,BR,12
DEME,BR,12
DEXB,BR,12
DIE,BR,12
ECONB,BR,12
EKOP,BR,12
ELI,BR,12
EMD,BR,12
ENRGY,BR,12
EVS,BR,12
EXM,BR,12
FAGR,BR,12
FLOB,BR,12
FLSP,BR,12
FLUX,BR,12
GBLB,BR,12
GIMB,BR,12
HYL,BR,12
HYSG,BR,12
IBAB,BR,12
IEP,BR,12
IMMO,BR,12
IMMOU,BR,3
INCLU,BR,12
JEN,BR,12
KBC,BR,12
KBCA,BR,6
KIN,BR,12
LOTB,BR,12
MCC,BR,3
MELE,BR,12
MIKO,BR,12
MLTV,BR,12
MONNI,BR,12
MOP,BR,6
MOPF,BR,6
MOUR,BR,12
NEWT,BR,12
NEXTA,BR,12
NYR,BR,12
NYXH,BR,12
OBEL,BR,12
ONTEX,BR,12
ONWD,BR,12
OPTI,BR,12
PAY,BR,12
PROX,BR,12
QFG,BR,12
REAL,BR,12
RECT,BR,12
ROCK,BR,12
ROU,BR,12
SEQUA,BR,12
SIP,BR,12
SOF,BR,12
SOFT,BR,12
SOLB,BR,12
SOLV,BR,12
SPA,BR,12
SYENS,BR,12
TESB,BR,12
TEXF,BR,12
TINC,BR,12
TUB,BR,12
UCB,BR,12
UMI,BR,12
VAN,BR,12
VGP,BR,12
VIO,BR,12
WEB,BR,12
WHATS,BR,12
ZEN,BR,12
ACACIGDKK,CPSE,12
AGF B,CPSE,12
ALK B,CPSE,12
ALMB,CPSE,12
ALSYDB,CPSE,12
AMBU B,CPSE,12
AOJ B,CPSE,12
ARAOPT,CPSE,12
ASTK,CPSE,12
BAVA,CPSE,12
BIAEJD,CPSE,12
BIF,CPSE,6
BIOPOR,CPSE,12
BO,CPSE,5
CARL B,CPSE,12
CBRAIN,CPSE,12
CHEMM,CPSE,6
COLO B,CPSE,12
COLUM,CPSE,12
CPHCAP ST,CPSE,12
DAB,CPSE,12
DANSKE,CPSE,12
DEMANT,CPSE,12
DFDS,CPSE,12
DJUR,CPSE,12
DNORD,CPSE,12
DSV,CPSE,12
EGNETY,CPSE,12
EMBLA,CPSE,12
FED,CPSE,12
FFARMS,CPSE,12
FLS,CPSE,12
FLUG B,CPSE,12
FOBANK,CPSE,12
FPILIM,CPSE,12
FYNBK,CPSE,12
GABR,CPSE,9
GMAB,CPSE,12
GN,CPSE,12
GREENM,CPSE,12
GRLA,CPSE,12
GUBRA,CPSE,12
GYLD B,CPSE,12
HARB B,CPSE,12
HH,CPSE,12
HLUN B,CPSE,12
HUSCO,CPSE,12
ISS,CPSE,12
JDAN,CPSE,12
JYSK,CPSE,12
KBHL,CPSE,12
KRE,CPSE,12
LASP,CPSE,12
LOLB,CPSE,12
LUXOR B,CPSE,12
MAERSK B,CPSE,12
MATAS,CPSE,3
MNBA,CPSE,12
MTHH,CPSE,12
NDIDAFKL1,CPSE,12
NETC,CPSE,12
NKT,CPSE,12
NNIT,CPSE,12
NORTHM,CPSE,12
NOVO B,CPSE,12
NSIS B,CPSE,12
NTG,CPSE,12
ORSTED,CPSE,12
PAAL B,CPSE,12
PARKEN,CPSE,12
PARKST A,CPSE,12
PNDORA,CPSE,12
PRIMOF,CPSE,12
RBREW,CPSE,12
RILBA,CPSE,12
RLAINV,CPSE,12
ROCK B,CPSE,12
RTX,CPSE,9
SCHO,CPSE,12
SJF,CPSE,12
SKJE,CPSE,12
SOLAR B,CPSE,12
SPG,CPSE,12
STG,CPSE,12
TCM,CPSE,12
TGAMES,CPSE,12
TIV,CPSE,12
TRIFOR,CPSE,12
TRMD A,CPSE,12
TRYG,CPSE,12
UIE,CPSE,12
VWS,CPSE,12
ZEAL,CPSE,12
AALLON,HE,12
ACG1V,HE,12
ADMCM,HE,12
ADMIN,HE,12
AFAGR,HE,12
AKTIA,HE,12
ALBAV,HE,12
ALEX,HE,12
ALISA,HE,12
ALMA,HE,12
ANORA,HE,12
APETIT,HE,12
ARVOSK,HE,12
ASPO,HE,12
ASUNTO,HE,9
ATRAV,HE,12
AUROORA,HE,12
BEER,HE,12
BETOLAR,HE,12
BITTI,HE,12
BOREO,HE,12
BRETEC,HE,12
CANATU,HE,12
CAPMAN,HE,12
CITYVA,HE,12
CONSTI,HE,12
CTY1S,HE,12
DETEC,HE,12
DIGIA,HE,12
DWF,HE,12
EAGLE,HE,12
EASOR,HE,12
EEZY,HE,12
ELISA,HE,12
ENENTO,HE,12
EQV1V,HE,12
ETTE,HE,12
EVLI,HE,12
EXEL,HE,12
FIA1S,HE,12
FOAMIT,HE,12
FODELIA,HE,12
FONDIA,HE,12
FORTUM,HE,12
FRAMERY,HE,12
FSECURE,HE,12
FSKRS,HE,12
GLA1V,HE,12
GOFORE,HE,12
GRK,HE,12
HARVIA,HE,12
HIAB,HE,12
HKFOODS,HE,12
HRTIS,HE,12
HUH1V,HE,12
ICP1V,HE,12
ILKKA,HE,12
INVEST,HE,12
KALMAR,HE,12
KAMUX,HE,12
KCR,HE,12
KEMIRA,HE,12
KEMPOWR,HE,12
KESKOB,HE,12
KHG,HE,12
KNEBV,HE,12
KOSKI,HE,12
KREATE,HE,12
KSL,HE,12
LAMOR,HE,12
LAPWALL,HE,12
LASTIK,HE,12
LEADD,HE,12
LEMON,HE,12
LINDEX,HE,12
LOIHDE,HE,12
LUMO,HE,12
LUOTEA,HE,12
MANTA,HE,12
MEKKO,HE,12
MERUS,HE,12
METSB,HE,12
METSO,HE,12
MODU,HE,12
MUSTI,HE,12
NANOFH,HE,12
NDA FI,HE,12
NESTE,HE,12
NLG1V,HE,12
NOHO,HE,12
NOKIA,HE,12
OLVAS,HE,12
OMASP,HE,12
OPTOMED,HE,12
ORIOLA,HE,12
ORNBV,HE,12
ORTHEX,HE,12
OUT1V,HE,12
OVARO,HE,12
PAMPALO,HE,12
PIHLIS,HE,12
PON1V,HE,12
POSTI,HE,12
QTCOM,HE,12
RAIVV,HE,12
RAP1V,HE,12
RAUTE,HE,12
REG1V,HE,12
REKA,HE,12
RELAIS,HE,12
REMEDY,HE,12
ROBIT,HE,12
SAGCV,HE,10
SAMPO,HE,12
